sample,date,time,tank_side,of_start,of_end,no_start,no_end,fps,adj_top,adj_right,bound_left,bound_right,bound_top,bound_bottom,of_video_length,no_video_length,bgsub_of_q1,bgsub_of_q2,bgsub_of_q3,bgsub_of_q4,bgsub_no_q1,bgsub_no_q2,bgsub_no_q3,bgsub_no_q4,intensity_floor_of_q1,intensity_floor_of_q2,intensity_floor_of_q3,intensity_floor_of_q4,intensity_floor_no_q1,intensity_floor_no_q2,intensity_floor_no_q3,intensity_floor_no_q4,intensity_ceiling_of_q1,intensity_ceiling_of_q2,intensity_ceiling_of_q3,intensity_ceiling_of_q4,intensity_ceiling_no_q1,intensity_ceiling_no_q2,intensity_ceiling_no_q3,intensity_ceiling_no_q4,area_floor_of_q1,area_floor_of_q2,area_floor_of_q3,area_floor_of_q4,area_floor_no_q1,area_floor_no_q2,area_floor_no_q3,area_floor_no_q4,area_ceiling_of_q1,area_ceiling_of_q2,area_ceiling_of_q3,area_ceiling_of_q4,area_ceiling_no_q1,area_ceiling_no_q2,area_ceiling_no_q3,area_ceiling_no_q4,cab_coords_of_q1,cab_coords_of_q2,cab_coords_of_q3,cab_coords_of_q4,cab_coords_no_q1,cab_coords_no_q2,cab_coords_no_q3,cab_coords_no_q4
20211117_1326_R,20211117,1326,R,1903,19931,20658,38719,30,-2,-3,18,17,20,23,NA,18061,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Right,Right,Right,Right,Left,Bottom,Bottom,Bottom
20211117_1429_R,20211117,1429,R,1768,19966,20798,38788,30,-2,-3,18,17,20,23,NA,17990,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,155,133,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,300,1000,Bottom,Left,Bottom,Bottom,Right,Left,Top,Left
20211118_1017_R,20211118,1017,R,1653,19672,20498,38516,30,-2,0,18,17,20,23,NA,18018,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,137,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Right,Bottom,Left,Left,Top,Bottom,Left,Right
20211118_1110_R,20211118,1110,R,1762,19788,20616,38642,30,-3,-8,9,24,16,23,NA,18026,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,145,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Top,Bottom,Right,Right,Left,Right
20211125_0910_R,20211125,0910,R,1600,19610,20436,38497,30,0,-5,15,17,20,19,NA,18061,False,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Left,Right,Right,Bottom,Bottom,Top
20211125_1006_R,20211125,1006,R,1274,19309,19971,38005,30,-2,-3,18,17,20,23,NA,18034,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,129,140,147,180,150,10,10,10,5,10,10,70,20,1000,1000,1000,1000,1000,1000,1000,1000,Right,Bottom,NA,Bottom,Right,Right,NA,Bottom
20211125_1343_R,20211125,1343,R,1487,19423,20295,38231,30,-2,-2,18,17,20,23,NA,17936,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,155,180,155,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Left,Left,NA,Bottom,Right,Left,NA,Left
20211125_1445_R,20211125,1445,R,1769,19614,20758,38810,30,-2,12,31,4,16,20,NA,18052,False,False,False,False,False,False,False,False,0,0,0,0,0,0,102,0,160,160,155,160,140,140,160,180,10,10,35,10,10,2,30,70,1000,1000,1000,1000,1000,1000,400,1000,Right,Left,Right,Right,Top,Top,Left,Right
20211130_0944_R,20211130,0944,R,1547,19533,20409,38447,30,0,-2,18,17,20,21,NA,18038,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Left,Bottom,Top,Right,Top,Left
20211130_1047_R,20211130,1047,R,1597,19622,20343,38419,30,-1,-3,15,20,20,20,NA,18076,False,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,90,160,160,140,148,180,180,10,30,10,10,10,25,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Right,Bottom,Right,Bottom,Top,Top
20211201_1414_R,20211201,1414,R,1815,19858,20636,38679,30,-2,-3,16,17,20,20,NA,18043,True,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,140,160,110,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Left,Right,Top,Top,Right,Bottom
20211201_1500_R,20211201,1500,R,1765,19933,20712,38724,30,-2,-1,18,17,20,21,NA,18012,False,False,False,False,False,False,False,False,0,0,0,0,100,0,0,0,160,160,160,160,170,155,180,180,10,10,10,10,35,10,70,70,1000,1000,1000,1000,126,1000,1000,1000,Bottom,Top,Left,Right,Bottom,Right,Bottom,Right
20211203_0937_R,20211203,0937,R,3911,45510,47287,88411,68,-1,0,18,17,20,20,NA,41124,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,40,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Right,Bottom,Right,Bottom,Left,Bottom
20211203_1041_R,20211203,1041,R,3935,45430,47100,88952,69,1,-1,18,17,20,23,NA,41852,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,147,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Left,Left,Top,Top,Right,Left,Right,Right
20211207_1342_R,20211207,1342,R,4819,45487,47015,87682,67,0,0,18,17,20,23,NA,40667,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Left,Left,Right,Right,Top,Right,Bottom,Top
20211207_1439_R,20211207,1439,R,3952,45623,47180,89329,69,0,-1,18,17,20,20,NA,42149,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Right,Right,Top,Top,Bottom,Left,Left,Left
20211209_1319_R,20211209,1319,R,4578,46138,47704,89866,69,-2,-3,18,17,20,20,NA,42162,False,False,True,False,False,True,False,False,0,0,0,0,0,0,0,0,160,160,145,160,140,130,180,180,10,10,10,10,10,40,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Top,Top,Left,Right,Top,Bottom
20211209_1424_R,20211209,1424,R,4360,46137,48195,90335,69,-1,-3,16,19,18,21,NA,42140,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Left,Left,Top,Top,Top,Right,Left
20211210_0936_R,20211210,0936,R,4303,45296,47208,89156,68,-1,0,18,17,19,21,NA,41948,True,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,145,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Left,Left,Right,Right,Top,Bottom,Bottom,Top
20211210_1036_R,20211210,1036,R,3928,45469,47374,88795,69,0,0,18,17,19,20,NA,41421,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,155,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Right,Bottom,Left,Left,Top,Top,Bottom,Top
20211210_1346_R,20211210,1346,R,5147,45957,47872,89281,68,0,-1,18,17,20,19,NA,41409,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,100,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Right,Left,Bottom,Right,Left,Left,Left,Right
