run,start_of,end_of,start_no,end_no,frame_rate,tank_side,date,q1_dims,q2_dims,q3_dims,q4_dims
20191111_1527_5-1_L_A,1905,20603,21373,39778,29,L,20191111,"288,0,364,363","643,0,346,365","643,352,346,368","288,356,363,364"
20191111_1558_10-1_L_A,2209,20705,21495,39804,29,L,20191111,"288,0,364,363","643,0,346,365","643,352,346,368","288,356,363,364"
20191111_1627_11-1_L_A,2938,21312,21961,40236,30,L,20191111,"288,0,364,363","643,0,346,365","643,352,346,368","288,356,363,364"
20191111_1655_11-2_L_A,2047,20320,21211,39326,29,L,20191111,"288,0,364,363","643,0,346,365","643,352,346,368","288,356,363,364"
20191111_1724_iCab_L_A,2371,20583,21272,44444,29,L ,20191111,"288,0,364,363","643,0,346,365","643,352,346,368","288,356,363,364"
20191112_0948_4-2_L_A,2576,21448,22051,40327,29,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1025_13-2_L_A,2078,20409,21080,39207,30,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1053_14-1_L_A,1978,20376,21113,39571,29,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1129_14-2_L_A,1609,20543,21180,39364,30,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1206_15-1_L_A,1844,20443,21214,39438,30,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1236_18-2_L_A,1911,20677,21281,39654,29,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1303_17-1_L_A,1777,19974,20912,39083,29,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1331_68-1_L_A,1992,20339,21017,39702,30,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1358_23-1_L_A,1933,20085,21060,39264,30,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1426_59-2_L_A,1738,21356,22204,40693,30,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1456_38-2_L_A,1992,20001,20848,38966,30,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1525_33-1_L_A,1661,19873,20551,38920,30,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1554_43-2_L_A,1611,20128,20890,38909,30,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1625_39-2_L_A,1653,19958,20636,38969,30,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1653_25-1_L_A,1780,20043,20721,38842,30,L,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191112_1722_135-2_L_A,1611,19958,20806,38985,30,L ,20191112,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191113_0911_84-2_L_A,1526,19916,20678,38926,30,L,20191113,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191113_0941_69-2_L_A,1695,20085,20763,39073,30,L,20191113,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191113_1011_iCab_L_A,1950,20339,21017,39220,30,L,20191113,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191113_1045_94-1_L_A,1738,20128,20848,39288,30,L,20191113,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191113_1233_79-2_L_A,1187,18390,19026,36359,28,L,20191113,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191113_1247_106-1_R_A,1057,9960,10280,19086,14,R,20191113,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191113_1302_53-2_L_A,1399,18602,19450,36734,28,L,20191113,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191113_1317_140-3_R_A,797,9626,10008,18996,14,R,20191113,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191113_1332_106-2_L_A,1865,19238,19789,36982,28,L,20191113,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191113_1345_80-1_R_A,929,9899,10219,19092,14,R,20191113,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191113_1401_58-2_L_A,1399,18729,19280,36474,28,L,20191113,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191113_1415_117-1_R_A,933,9747,10004,18887,14,R,20191113,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191113_1430_110-2_L_A,1497,18673,19202,36328,28,L,20191113,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191113_1444_72-2_R_A,934,9705,9985,18895,14,R,20191113,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191113_1458_137-4_L_A,1653,18766,19296,36549,28,L,20191113,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191113_1513_23-2_R_A,863,9872,10191,19040,14,R,20191113,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191113_1527_21-2_L_A,1187,18772,19365,36609,28,L,20191113,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191113_1542_138-1_R_A,694,9545,9829,18774,14,R,20191113,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191113_1557_22-1_L_A,1187,18773,19365,36538,28,L,20191113,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191113_1611_29-1_R_A,823,9707,9991,18843,14,R ,20191113,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191114_0937_iCab_L_A,100,13390,13941,32043,24,L,20191114,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191114_0952_4-1_R_A,1930,21813,22400,40475,30,R,20191114,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191114_1008_20-1_L_A,2034,20848,21441,39726,30,L,20191114,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191114_1023_7-2_R_A,1594,19925,20386,38937,30,R,20191114,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191114_1040_8-2_L_A,1695,19746,20382,38668,29,L,20191114,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191114_1058_30-1_R_A,1553,20219,20848,39066,30,R,20191114,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191114_1113_40-2_L_A,1865,20128,20763,38880,30,L,20191114,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191114_1129_32-2_R_A,1888,20135,20848,55246,30,R,20191114,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191114_1145_39-1_L_A,1738,20212,20837,38928,30,L,20191114,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191114_1201_55-2_R_A,1594,19715,20303,38449,30,R,20191114,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191114_1217_40-1_L_A,1738,20001,20467,38604,30,L,20191114,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191114_1233_47-1_R_A,2014,20093,21016,39064,30,R,20191114,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191114_1249_49-1_L_A,1484,19662,20467,39192,30,L,20191114,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191114_1305_50-2_R_A,1427,19589,20261,38739,30,R,20191114,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191114_1321_iCab_L_A,1611,19789,20467,38623,29,L,20191114,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191114_1337_60-1_R_A,1427,19589,20386,38675,30,R,20191114,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191114_1353_61-1_L_A,1738,19873,20594,38738,30,L,20191114,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191114_1409_62-2_R_A,1762,19925,20722,39330,30,R,20191114,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191114_1425_59-1_L_A,1441,19619,20255,38494,30,L,20191114,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191114_1440_70-2_R_A,1678,19967,20596,38695,30,R,20191114,"0,0,427,437","415,0,441,431","416,421,440,441","0,432,428,430"
20191114_1455_69-1_L_A,1653,19789,20467,38688,29,L ,20191114,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
20191115_0954_71-1_L_A,1611,19789,20551,39002,29,L,20191115,"0,0,425,432","415,0,433,425","415,416,433,454","0,420,428,450"
