sample,assay,video,total_seconds,success_count,frame_count,prop_success
#20220323_1421_38-2_40-1_L_q3,novel_object,20220323_1421_L,600,27,17400,0.0015517241379310344
#20211125_1343_21-2_50-2_R_q4,novel_object,20211125_1343_R,600,84,18000,0.004666666666666667
#20220323_1421_38-2_40-1_L_q4,open_field,20220323_1421_L,600,538,17400,0.030919540229885058
#20220323_1421_38-2_40-1_L_q3,open_field,20220323_1421_L,600,2336,17400,0.13425287356321838
#20220411_1009_38-2_40-1_L_q1,novel_object,20220411_1009_L,600,2922,17400,0.16793103448275862
#20220428_1016_21-2_40-1_R_q3,novel_object,20220428_1016_R,600,3709,17400,0.2131609195402299
#20211210_1346_38-2_18-2_R_q2,novel_object,20211210_1346_R,600,9646,40800,0.23642156862745098
#20220428_1016_21-2_40-1_R_q1,open_field,20220428_1016_R,600,5004,17400,0.28758620689655173
#20211125_1006_21-2_40-1_R_q4,novel_object,20211125_1006_R,600,6105,18000,0.33916666666666667
#20211117_1429_50-2_38-2_R_q3,novel_object,20211117_1429_R,600,6797,18000,0.3776111111111111
#20211210_0936_8-2_40-1_R_q2,novel_object,20211210_0936_R,600,15513,40800,0.38022058823529414
#20220408_0955_38-2_40-1_R_q4,novel_object,20220408_0955_R,600,6887,17400,0.39580459770114945
#20211201_1500_38-2_18-2_R_q1,novel_object,20211201_1500_R,600,9156,18000,0.5086666666666667
#20220329_0921_21-2_40-1_R_q2,novel_object,20220329_0921_R,600,9015,17400,0.5181034482758621
#20220427_0948_38-2_21-2_L_q4,novel_object,20220427_0948_L,600,9128,17400,0.5245977011494253
#20220330_0918_21-2_40-1_R_q3,novel_object,20220330_0918_R,600,9731,17400,0.5592528735632184
#20211210_1036_38-2_18-2_R_q3,novel_object,20211210_1036_R,600,23322,41400,0.5633333333333334
#20211221_1356_38-2_21-2_R_q2,novel_object,20211221_1356_R,600,11078,18000,0.6154444444444445
#20220329_0919_21-2_40-1_L_q4,novel_object,20220329_0919_L,600,10743,17400,0.6174137931034482
#20211203_0937_21-2_50-2_R_q2,novel_object,20211203_0937_R,600,29534,40800,0.7238725490196078
#20220408_0955_38-2_40-1_R_q2,open_field,20220408_0955_R,600,12597,17400,0.7239655172413794
#20220328_1400_38-2_18-2_R_q3,novel_object,20220328_1400_R,600,12691,17400,0.729367816091954
#20211215_0952_50-2_38-2_R_q4,open_field,20211215_0952_R,600,29178,39600,0.7368181818181818
#20220502_0956_21-2_40-1_L_q1,novel_object,20220502_0956_L,600,12921,17400,0.7425862068965517
#20220506_1040_38-2_21-2_L_q1,novel_object,20220506_1040_L,600,13085,17400,0.7520114942528736
#20220323_1422_38-2_40-1_R_q4,novel_object,20220323_1422_R,600,13168,17400,0.7567816091954023
#20220405_1004_38-2_40-1_L_q3,novel_object,20220405_1004_L,600,13230,17400,0.7603448275862069
#20220328_1400_38-2_18-2_R_q3,open_field,20220328_1400_R,600,13413,17400,0.7708620689655172
#20211125_1343_21-2_50-2_R_q2,novel_object,20211125_1343_R,600,14495,18000,0.8052777777777778
#20220505_1011_38-2_40-1_L_q4,novel_object,20220505_1011_L,600,14178,17400,0.8148275862068965
#20211207_1439_21-2_40-1_R_q2,novel_object,20211207_1439_R,600,33805,41400,0.8165458937198068
#20220401_0955_8-2_40-1_R_q1,novel_object,20220401_0955_R,600,14236,17400,0.8181609195402298
#20211203_0937_21-2_40-1_R_q1,novel_object,20211203_0937_R,600,33525,40800,0.8216911764705882
#20211213_1353_50-2_8-2_R_q2,novel_object,20211213_1353_R,600,33539,40800,0.8220343137254902
#20211210_0936_8-2_40-1_R_q2,open_field,20211210_0936_R,600,33651,40800,0.8247794117647059
#20220408_0953_38-2_40-1_L_q3,novel_object,20220408_0953_L,600,14363,17400,0.8254597701149425
#20220325_1010_38-2_40-1_L_q4,novel_object,20220325_1010_L,600,14649,17400,0.8418965517241379
20211130_1047_8-2_38-2_R_q2,novel_object,20211130_1047_R,600,15347,18000,0.8526111111111111
20220325_1010_38-2_40-1_L_q1,novel_object,20220325_1010_L,600,14844,17400,0.853103448275862
20220405_1005_38-2_40-1_R_q1,open_field,20220405_1005_R,600,14933,17400,0.8582183908045977
20220325_1011_21-2_40-1_R_q2,novel_object,20220325_1011_R,600,14968,17400,0.8602298850574712
20220329_0921_38-2_40-1_R_q4,open_field,20220329_0921_R,600,15180,17400,0.8724137931034482
20220321_1001_8-2_40-1_R_q4,novel_object,20220321_1001_R,600,15258,17400,0.8768965517241379
20220321_1001_8-2_40-1_R_q4,open_field,20220321_1001_R,600,15408,17400,0.8855172413793103
20211217_1106_50-2_18-2_R_q4,novel_object,20211217_1106_R,599.5666666666667,15980,17987,0.8884194140212376
20211217_0951_38-2_40-1_R_q1,novel_object,20211217_0951_R,599.3666666666667,15979,17981,0.8886602524887381
20211220_1527_38-2_21-2_R_q4,novel_object,20211220_1527_R,599.9,16061,17997,0.8924265155303662
20220506_1041_21-2_50-2_R_q3,novel_object,20220506_1041_R,600,15582,17400,0.8955172413793103
20220329_0919_21-2_40-1_L_q3,novel_object,20220329_0919_L,600,15657,17400,0.8998275862068965
20211221_1356_38-2_18-2_R_q3,novel_object,20211221_1356_R,600,16280,18000,0.9044444444444445
20211213_1353_50-2_8-2_R_q1,novel_object,20211213_1353_R,600,37001,40800,0.9068872549019608
20220411_1010_8-2_38-2_R_q2,novel_object,20220411_1010_R,600,15825,17400,0.9094827586206896
20220506_1040_38-2_21-2_L_q4,novel_object,20220506_1040_L,600,15828,17400,0.9096551724137931
20220427_0948_38-2_21-2_L_q3,novel_object,20220427_0948_L,600,15891,17400,0.9132758620689655
20220323_1422_38-2_40-1_R_q3,open_field,20220323_1422_R,600,15908,17400,0.9142528735632184
20211125_1445_21-2_40-1_R_q2,novel_object,20211125_1445_R,600,16492,18000,0.9162222222222223
20220401_0953_50-2_18-2_L_q1,novel_object,20220401_0953_L,600,15963,17400,0.9174137931034483
20220503_1019_38-2_18-2_R_q2,open_field,20220503_1019_R,600,15984,17400,0.9186206896551724
20220405_1004_38-2_40-1_L_q4,novel_object,20220405_1004_L,600,16032,17400,0.9213793103448276
20220322_1011_38-2_40-1_R_q3,novel_object,20220322_1011_R,600,16096,17400,0.9250574712643678
20211217_1106_50-2_18-2_R_q4,open_field,20211217_1106_R,600,16694,18000,0.9274444444444444
20220428_1016_21-2_40-1_R_q1,novel_object,20220428_1016_R,600,16146,17400,0.9279310344827586
20211220_0954_50-2_18-2_R_q2,novel_object,20211220_0954_R,599.9666666666667,16778,17999,0.9321628979387744
20211125_1445_21-2_40-1_R_q3,open_field,20211125_1445_R,600,16806,18000,0.9336666666666666
20211222_0946_8-2_38-2_R_q1,novel_object,20211222_0946_R,600,16866,18000,0.937
20220411_1010_38-2_21-2_R_q3,open_field,20220411_1010_R,600,16329,17400,0.9384482758620689
20220502_0957_8-2_40-1_R_q3,novel_object,20220502_0957_R,600,16363,17400,0.9404022988505747
20220408_0953_38-2_40-1_L_q1,novel_object,20220408_0953_L,600,16428,17400,0.9441379310344827
20220427_0951_18-2_21-2_R_q3,novel_object,20220427_0951_R,600,16456,17400,0.9457471264367816
20220330_0917_21-2_40-1_L_q2,novel_object,20220330_0917_L,600,16595,17400,0.953735632183908
20220405_1005_38-2_40-1_R_q3,novel_object,20220405_1005_R,600,16619,17400,0.9551149425287356
20211203_1041_21-2_40-1_R_q4,novel_object,20211203_1041_R,600,39546,41400,0.9552173913043478
20211220_1527_38-2_21-2_R_q1,novel_object,20211220_1527_R,599.9,17206,17997,0.956048230260599
20220405_1004_8-2_40-1_L_q1,novel_object,20220405_1004_L,600,16644,17400,0.956551724137931
20220411_1010_38-2_21-2_R_q3,novel_object,20220411_1010_R,600,16689,17400,0.9591379310344827
20211125_1006_21-2_40-1_R_q2,novel_object,20211125_1006_R,600,17274,18000,0.9596666666666667
20220502_0957_21-2_40-1_R_q2,open_field,20220502_0957_R,600,16705,17400,0.9600574712643678
20220328_1400_38-2_18-2_R_q1,open_field,20220328_1400_R,600,16716,17400,0.9606896551724138
20220505_1013_38-2_40-1_R_q2,novel_object,20220505_1013_R,600,16723,17400,0.9610919540229885
20220503_1019_38-2_18-2_R_q1,novel_object,20220503_1019_R,600,16808,17400,0.9659770114942529
20220502_0957_8-2_40-1_R_q3,open_field,20220502_0957_R,600,16824,17400,0.9668965517241379
20211210_1036_38-2_18-2_R_q2,novel_object,20211210_1036_R,600,40053,41400,0.967463768115942
20220506_1041_21-2_50-2_R_q1,novel_object,20220506_1041_R,600,16859,17400,0.9689080459770115
20211118_1017_38-2_40-1_R_q3,novel_object,20211118_1017_R,600,17486,18000,0.9714444444444444
20220405_1004_8-2_40-1_L_q2,novel_object,20220405_1004_L,600,16952,17400,0.9742528735632184
20211130_1047_40-1_50-2_R_q4,novel_object,20211130_1047_R,600,17565,18000,0.9758333333333333
20211221_1452_38-2_18-2_R_q2,novel_object,20211221_1452_R,600,17587,18000,0.9770555555555556
20211125_1006_21-2_40-1_R_q4,open_field,20211125_1006_R,600,17665,18000,0.9813888888888889
20211117_1429_50-2_38-2_R_q1,novel_object,20211117_1429_R,600,17671,18000,0.9817222222222223
20220408_0953_38-2_40-1_L_q2,novel_object,20220408_0953_L,600,17092,17400,0.9822988505747127
20220329_0921_38-2_40-1_R_q4,novel_object,20220329_0921_R,600,17114,17400,0.9835632183908046
20211117_1326_38-2_21-2_R_q4,novel_object,20211117_1326_R,600,17731,18000,0.9850555555555556
20211215_0952_50-2_38-2_R_q1,open_field,20211215_0952_R,600,39023,39600,0.9854292929292929
20220405_1005_38-2_40-1_R_q2,open_field,20220405_1005_R,600,17157,17400,0.9860344827586207
20220427_0951_38-2_21-2_R_q2,novel_object,20220427_0951_R,600,17160,17400,0.9862068965517241
20211215_1423_50-2_38-2_R_q2,novel_object,20211215_1423_R,600,17762,18000,0.9867777777777778
20211201_1414_40-1_50-2_R_q2,novel_object,20211201_1414_R,600,17773,18000,0.9873888888888889
20220428_1015_18-2_21-2_L_q4,open_field,20220428_1015_L,600,17194,17400,0.9881609195402299
20220405_1004_8-2_40-1_L_q2,open_field,20220405_1004_L,600,17213,17400,0.9892528735632183
20220323_1422_38-2_40-1_R_q3,novel_object,20220323_1422_R,600,17227,17400,0.9900574712643678
20211201_1414_38-2_18-2_R_q3,novel_object,20211201_1414_R,600,17829,18000,0.9905
20211222_0946_8-2_38-2_R_q4,novel_object,20211222_0946_R,600,17832,18000,0.9906666666666667
20220325_1011_21-2_40-1_R_q3,open_field,20220325_1011_R,600,17252,17400,0.9914942528735632
20211221_1356_38-2_21-2_R_q2,open_field,20211221_1356_R,600,17860,18000,0.9922222222222222
20211220_1423_38-2_21-2_R_q3,novel_object,20211220_1423_R,600,17865,18000,0.9925
20211217_1106_50-2_18-2_R_q1,novel_object,20211217_1106_R,599.5666666666667,17853,17987,0.9925501751264802
20220505_1011_38-2_40-1_L_q2,open_field,20220505_1011_L,600,17273,17400,0.9927011494252873
20220328_1400_38-2_18-2_R_q2,open_field,20220328_1400_R,600,17274,17400,0.9927586206896551
20220329_0921_21-2_40-1_R_q2,open_field,20220329_0921_R,600,17276,17400,0.9928735632183908
20211210_0936_8-2_40-1_R_q1,novel_object,20211210_0936_R,600,40511,40800,0.9929166666666667
20211203_1041_21-2_40-1_R_q3,novel_object,20211203_1041_R,600,41113,41400,0.9930676328502416
20220330_0918_21-2_40-1_R_q3,open_field,20220330_0918_R,600,17283,17400,0.9932758620689656
20220505_1011_38-2_40-1_L_q1,open_field,20220505_1011_L,600,17283,17400,0.9932758620689656
20220506_1040_38-2_21-2_L_q2,novel_object,20220506_1040_L,600,17288,17400,0.9935632183908046
20220321_1001_8-2_40-1_R_q2,novel_object,20220321_1001_R,600,17291,17400,0.993735632183908
20211222_0946_8-2_38-2_R_q2,novel_object,20211222_0946_R,600,17900,18000,0.9944444444444445
20211201_1414_40-1_50-2_R_q2,open_field,20211201_1414_R,600,17901,18000,0.9945
20211220_1423_50-2_18-2_R_q2,novel_object,20211220_1423_R,600,17901,18000,0.9945
20220325_1010_21-2_40-1_L_q3,novel_object,20220325_1010_L,600,17306,17400,0.9945977011494253
20220401_0953_50-2_18-2_L_q2,open_field,20220401_0953_L,600,17306,17400,0.9945977011494253
20211125_1445_21-2_40-1_R_q3,novel_object,20211125_1445_R,600,17904,18000,0.9946666666666667
20220325_1011_21-2_40-1_R_q4,novel_object,20220325_1011_R,600,17308,17400,0.9947126436781609
20211125_0910_8-2_40-1_R_q2,novel_object,20211125_0910_R,600,17908,18000,0.9948888888888889
20211209_1319_21-2_40-1_R_q1,novel_object,20211209_1319_R,600,41189,41400,0.9949033816425121
20211213_1353_50-2_8-2_R_q2,open_field,20211213_1353_R,600,40595,40800,0.9949754901960784
20211215_0952_50-2_8-2_R_q2,open_field,20211215_0952_R,600,39420,39600,0.9954545454545455
20220405_1005_38-2_40-1_R_q2,novel_object,20220405_1005_R,600,17323,17400,0.9955747126436781
20220502_0956_21-2_40-1_L_q3,novel_object,20220502_0956_L,600,17323,17400,0.9955747126436781
20211222_1045_8-2_38-2_R_q4,novel_object,20211222_1045_R,600,17326,17400,0.9957471264367816
20220506_1040_38-2_21-2_L_q1,open_field,20220506_1040_L,600,17327,17400,0.9958045977011494
20211207_1342_21-2_40-1_R_q3,open_field,20211207_1342_R,600,40034,40200,0.9958706467661692
20220328_1400_38-2_18-2_R_q2,novel_object,20220328_1400_R,600,17329,17400,0.995919540229885
20211207_1342_21-2_40-1_R_q4,novel_object,20211207_1342_R,600,40044,40200,0.9961194029850746
20220322_1011_38-2_40-1_R_q1,novel_object,20220322_1011_R,600,17333,17400,0.9961494252873563
20220401_0953_50-2_18-2_L_q3,open_field,20220401_0953_L,600,17333,17400,0.9961494252873563
20211209_1319_21-2_40-1_R_q3,open_field,20211209_1319_R,600,41244,41400,0.996231884057971
20220411_1010_8-2_38-2_R_q1,novel_object,20220411_1010_R,600,17336,17400,0.9963218390804598
20220503_1017_50-2_18-2_L_q1,novel_object,20220503_1017_L,600,17337,17400,0.9963793103448276
20220405_1004_38-2_40-1_L_q3,open_field,20220405_1004_L,600,17338,17400,0.9964367816091954
20211217_0951_38-2_40-1_R_q1,open_field,20211217_0951_R,600,17936,18000,0.9964444444444445
20211220_1423_50-2_18-2_R_q1,open_field,20211220_1423_R,600,17936,18000,0.9964444444444445
20211210_1036_38-2_18-2_R_q3,open_field,20211210_1036_R,600,41254,41400,0.9964734299516909
20211217_1416_50-2_18-2_R_q3,novel_object,20211217_1416_R,600,17937,18000,0.9965
20211220_0954_50-2_18-2_R_q3,open_field,20211220_0954_R,600,17938,18000,0.9965555555555555
20211125_1006_21-2_40-1_R_q1,novel_object,20211125_1006_R,600,17939,18000,0.9966111111111111
20211117_1429_50-2_38-2_R_q1,open_field,20211117_1429_R,600,17941,18000,0.9967222222222222
20211125_1445_21-2_40-1_R_q2,open_field,20211125_1445_R,600,17941,18000,0.9967222222222222
20211118_1017_38-2_40-1_R_q1,novel_object,20211118_1017_R,600,17943,18000,0.9968333333333333
20220408_0955_38-2_40-1_R_q4,open_field,20220408_0955_R,600,17346,17400,0.9968965517241379
20220408_0955_38-2_40-1_R_q1,novel_object,20220408_0955_R,600,17346,17400,0.9968965517241379
20220321_0959_8-2_40-1_L_q1,open_field,20220321_0959_L,600,17947,18000,0.9970555555555556
20211209_1319_21-2_40-1_R_q2,open_field,20211209_1319_R,600,41280,41400,0.9971014492753624
20220401_0955_8-2_40-1_R_q4,open_field,20220401_0955_R,600,17352,17400,0.9972413793103448
